Rank,Name,Score,Performance,Old Rating(β),Change,New Rating(β)
137,kotet,4060839,2012,533,+657,1190
138,gorugo30,4059885,2009,331,+800,1131
139,toriroro,4057154,2006,146,+921,1067
140,Lafolia,4056462,2003,729,+524,1253
141,abb,4056015,1999,942,+399,1341
142,m_tsubasa,4054633,1996,560,+628,1188
143,l_ength,4051540,1993,1135,+304,1439
144,nyst,4051411,1990,0,+990,990
145,packer_jp,4044155,1987,1543,+156,1699
146,neterukun,4042813,1984,847,+443,1290
147,monnu,4035329,1981,696,+531,1227
148,yamunaku,4030824,1978,218,+853,1071
149,Strorkis,4030493,1975,792,+470,1262
150,titia,4020851,1972,598,+587,1185
151,se1ka2,4015409,1969,923,+393,1316
152,agajo,4014733,1966,418,+706,1124
153,lemondo,4004488,1963,504,+644,1148
154,pekepon,4001946,1961,714,+507,1221
155,hotpepsi,3984267,1958,970,+362,1332
156,gojira_ku,3977097,1955,851,+425,1276
157,hari64,3960336,1952,0,+952,952
158,hirono999,3951173,1949,427,+687,1114
159,morimario,3945808,1946,662,+530,1192
160,yunix,3941883,1943,558,+595,1153
161,tktk_snsn,3940635,1941,52,+913,965
162,pierrot1123,3937950,1938,508,+624,1132
163,yokozuna57,3937869,1935,845,+417,1262
164,falanga,3935561,1932,0,+932,932
165,moririn2528,3930923,1930,523,+609,1132
166,wrp,3928818,1927,0,+927,927
167,Sithija,3907142,1924,0,+924,924
168,yomopota,3905437,1921,1014,+326,1340
169,shibh308,3901478,1919,751,+461,1212
170,unsre,3900331,1916,136,+851,987
171,sh_mug,3897313,1913,561,+573,1134
172,ashanhr,3895628,1911,0,+911,911
173,zeke,3893417,1908,158,+832,990
174,keserasera_77,3890885,1905,463,+632,1095
175,zach,3869102,1903,981,+332,1313
176,kozima,3863206,1900,1130,+268,1398
177,firiexp,3850689,1898,735,+458,1193
178,MZKi,3836466,1895,673,+492,1165
179,daiju,3830275,1892,1187,+242,1429
180,emanon001,3828331,1890,361,+691,1052
181,Mayimg,3826595,1887,1122,+266,1388
182,y61mpnl,3825594,1885,479,+608,1087
183,tute7627,3824625,1882,947,+339,1286
184,amentorimaru,3820527,1880,161,+807,968
185,Motsu_xe,3812683,1877,544,+561,1105
186,Shiro_S,3812587,1875,0,+875,875
187,yahoobb,3811889,1872,765,+427,1192
188,Aquarius,3808358,1870,1868,+63,1931
189,ganmodokix,3787860,1867,909,+349,1258
190,hal_goldfish,3778486,1865,0,+865,865
191,kotamanegi,3774519,1862,815,+394,1209
192,catoon,3765314,1860,146,+799,945
193,EgorLifar,3752264,1858,0,+858,858
194,nisui258,3723943,1855,643,+487,1130
195,hiro116s,3716857,1853,1089,+265,1354
196,judgelaw,3714970,1850,82,+819,901
197,rhincodon66,3713681,1848,0,+848,848
198,hiromi_ayase,3712306,1846,0,+846,846
199,kkty,3711144,1843,0,+843,843
200,Nyanpy,3709819,1841,116,+797,913
201,plcherrim,3709328,1839,681,+455,1136
202,Trineutron,3707003,1836,462,+587,1049
203,m_m,3694170,1834,453,+592,1045
204,phocom,3686939,1832,647,+471,1118
205,kuruton456,3686322,1829,52,+811,863
206,ariver78,3678844,1827,410,+615,1025
207,hkawaguc,3672553,1825,52,+807,859
208,tt829,3668624,1822,0,+822,822
209,KY2001,3663698,1820,147,+766,913
210,math,3658682,1818,0,+818,818
211,tarattata,3649640,1816,888,+335,1223
212,Tommy6,3642381,1813,0,+813,813
213,sbite,3631400,1811,579,+499,1078
214,iwashi31,3627636,1809,1287,+178,1465
215,Eprociaty,3624655,1807,0,+807,807
216,naoya_t,3614427,1805,197,+730,927
217,terry_u16,3613557,1802,1610,+95,1705
218,Dente,3613344,1800,1183,+210,1393
219,pranavg000,3595361,1798,0,+798,798
220,atcoder,3595069,1796,1075,+248,1323
221,Okay,3588851,1794,659,+442,1101
222,kiwamo,3588627,1791,730,+402,1132
223,kibuna,3583126,1789,1233,+190,1423
224,waltzetude,3576206,1787,0,+787,787
225,Tyranno,3564490,1785,991,+277,1268
226,NNMochi,3564387,1783,867,+330,1197
227,FLR,3563287,1781,18,+772,790
228,omr14t,3562976,1779,0,+779,779
229,nrvft,3550343,1776,1268,+174,1442
230,mattar,3542780,1774,148,+729,877
231,roto_37,3538957,1772,1054,+247,1301
232,T_Stream,3535345,1770,374,+601,975
233,masas1991,3533353,1768,645,+435,1080
234,masayoshi64,3530445,1766,0,+766,766
235,pitsu,3519711,1764,0,+764,764
236,saky0080,3499623,1762,630,+441,1071
237,fmhr,3488818,1760,407,+574,981
238,zezero,3486997,1758,351,+608,959
239,karinohito,3485016,1756,254,+663,917
240,halk,3479822,1754,0,+754,754
241,rs02,3478285,1752,0,+752,752
242,keep_OC,3476498,1750,0,+750,750
243,antguz,3475677,1748,901,+299,1200
244,harurun,3463795,1746,192,+687,879
245,kencho,3456602,1744,484,+515,999
246,hotman78,3449887,1742,52,+732,784
