Rank,Name,Score,Performance,Old Rating(β),Change,New Rating(β)
1,yokozuna57,14241733941,3697,2572,+378,2950
2,square1001,14240508795,3440,2729,+206,2935
3,bin101,14239593099,3314,2006,+474,2480
4,USA,14237296596,3227,3252,+36,3288
5,tanzaku,14228345249,3160,1971,+421,2392
6,saharan,14227908778,3105,2379,+198,2577
7,tute7627,14226352064,3058,1915,+382,2297
8,olphe,14224313041,3017,1923,+345,2268
9,Aquarius,14223928821,2980,2957,+39,2996
10,Nyaan,14222113096,2947,1647,+492,2139
11,kawatea,14221932666,2916,2782,+43,2825
12,daiju,14220378275,2888,1612,+469,2081
13,firiexp,14214639670,2862,1689,+397,2086
14,Shibungi,14214629995,2837,1823,+306,2129
15,hiikunZ,14213791662,2814,1891,+256,2147
16,asi1024,14212163981,2793,2554,+62,2616
17,ynasu,14208423347,2772,2630,+44,2674
18,hoshi524,14205720658,2753,2330,+101,2431
19,noimi,14200313879,2734,2525,+81,2606
20,ats5515,14195552734,2717,2858,+30,2888
21,cunitac,14195336735,2700,2044,+165,2209
22,terry_u16,14194465166,2684,2481,+48,2529
23,ashmelev,14194204534,2668,1523,+448,1971
24,rng,14193767342,2653,0,+1653,1653
25,rabot,14192788924,2639,2252,+90,2342
26,mtsd,14190536774,2625,1733,+296,2029
27,Rafbill,14189954771,2611,2515,+50,2565
28,kr,14188871955,2598,2626,+26,2652
29,not,14183959510,2585,0,+1585,1585
30,hamamu,14183810302,2573,2001,+189,2190
31,kai1000_don,14183777217,2561,0,+1561,1561
32,threecourse,14182207696,2550,2174,+102,2276
33,sansen,14173350773,2538,0,+1538,1538
34,btk15049,14172713312,2527,2346,+57,2403
35,fuppy0716,14172381228,2516,2309,+63,2372
36,roto_37,14171056304,2506,1729,+212,1941
37,cuthbert,14166575578,2496,2421,+40,2461
38,ymatsux,14166012742,2486,2571,+28,2599
39,assy,14165902434,2476,2529,+22,2551
40,tsukammo,14165184043,2466,2102,+94,2196
41,HIIRAGIchan,14161605753,2457,416,+1098,1514
42,Forested,14160945984,2448,1753,+179,1932
43,shibh308,14160634939,2439,2351,+40,2391
44,phocom,14160102133,2430,2857,+8,2865
45,suisen,14159726178,2421,1866,+145,2011
46,iehn,14156056220,2413,2631,+11,2642
47,sensaur,14155372394,2405,2121,+75,2196
48,tomerun,14155203862,2396,2953,+2,2955
49,kuhaku,14154676933,2388,2256,+48,2304
50,iraytno,14154482086,2380,1661,+226,1887
51,kozima,14150373020,2373,2180,+49,2229
52,tashikani,14148789867,2365,1966,+104,2070
53,se1ka2,14146978329,2358,1853,+123,1976
54,Mayimg,14146193953,2350,1738,+150,1888
55,unos,14143310461,2343,605,+828,1433
56,uil,14141035778,2336,1463,+260,1723
57,eijirou,14140583158,2329,2206,+44,2250
58,gazelle,14138064993,2322,2046,+85,2131
59,m_buyoh,14134510824,2315,1979,+86,2065
60,Dente,14131682354,2308,2068,+54,2122
61,knshnb,14126944682,2301,830,+652,1482
62,iwashi31,14120911989,2295,2514,+10,2524
63,sash,14118005158,2288,1954,+85,2039
64,neterukun,14116686640,2282,1563,+206,1769
65,hexa0611,14116006742,2276,1491,+216,1707
66,merom686,14113587422,2269,1974,+71,2045
67,sh_mug,14110858242,2263,1688,+140,1828
68,bowwowforeach,14110778894,2257,2657,+6,2663
69,koji_0204,14110092322,2251,0,+1251,1251
70,Omotchi,14107014046,2245,2445,+13,2458
71,unsre,14106544848,2239,1553,+167,1720
72,siman,14106131251,2233,2447,+17,2464
73,abb,14105951545,2228,1978,+54,2032
74,yuusanlondon,14105667319,2222,2321,+23,2344
75,shibaken496,14104518508,2216,1404,+258,1662
76,Trineutron,14103172460,2211,1880,+81,1961
77,toku,14102426143,2205,2094,+43,2137
78,y_kawano,14102313963,2200,2009,+55,2064
79,toyuzuko,14102115066,2194,1435,+186,1621
80,HBit,14102059878,2189,2087,+43,2130
81,udon1206,14101835291,2184,2068,+45,2113
82,keep_OC,14101717308,2179,1695,+130,1825
83,kenta2997,14099246478,2173,1729,+107,1836
84,titia,14099165472,2168,2018,+47,2065
85,hasegawa1,14098534782,2163,1547,+147,1694
86,spica314,14098470347,2158,2246,+23,2269
87,totori0908,14098214788,2153,1994,+50,2044
88,matsu7874,14097942793,2148,1498,+155,1653
89,dn154,14097848144,2143,1745,+86,1831
90,googol_S0,14097821852,2138,1388,+218,1606
